Method and Subset; Avg. Precision; Median Precision; Avg. Recall; Median Recall; Avg. SDE; Median SDE; Avg. BB-IOU; Median BB-IOU; Avg. IOU-20; Median IOU-20; Avg. IOU-15; Median IOU-15; Avg. IOU-10; Median IOU-10; Avg. IOU-5; Median IOU-5; Avg. IOU-0; Median IOU-0
Ori 3D Skel Non Strict 1;190,8587932;80,97853545;245,5101162;64,08350517;212,1285385;107,3391403;0,30361372;0,281237262;0,210535178;0,222275318;0,18284269;0,186192193;0,137319312;0,128787577;0,072954988;0,058871006;0,004533766;0,00224593
Ori 3D Skel Non Strict 2;82,3457732;51,55880785;398,1001021;100,8104372;230,4031351;95,30631291;0,317510487;0,317731519;0,201185687;0,205960405;0,168098689;0,168208846;0,121127257;0,119462298;0,066280991;0,05663745;0,004332338;0,001974824
Ori 3D Skel Non Strict 3;411,8182946;81,51310802;312,1929404;88,88015824;354,3048583;110,8953316;0,286986247;0,252036243;0,191599523;0,191265019;0,161439581;0,157087967;0,117458403;0,105845462;0,061664766;0,046952098;0,004069795;0,00187676
Ori 3D Skel Non Strict 4;69,78589446;37,66655225;509,1734285;136,2506558;276,9200503;102,2130147;0,322805651;0,321041115;0,203313315;0,211992124;0,170233534;0,171108669;0,12001157;0,114416424;0,062381904;0,04867116;0,004404401;0,001765566
Ori 3D Skel Non Strict 5;131,5543205;63,35530987;319,2307097;104,3125684;217,5181576;108,7201925;0,30682006;0,298639454;0,198959203;0,211093142;0,165030004;0,170521138;0,115397163;0,106899993;0,058260776;0,039511766;0,00353815;0,001196832
Ori 3D Skel Non Strict 6;124,1367523;67,95352764;308,9629016;103,5778475;208,9287421;109,3061863;0,301132333;0,290110382;0,189893724;0,191009152;0,155746581;0,152164503;0,109109839;0,099335779;0,056358027;0,04181538;0,003836419;0,001622283
Ori 3D Skel Non Strict 7;61,24540526;39,46136704;425,5172952;143,2946583;232,8852569;103,5193856;0,317480253;0,327211167;0,207337013;0,227733219;0,176589719;0,188163247;0,129820735;0,124798938;0,069238091;0,056841139;0,004798384;0,002058323
Ori 3D Skel Non Strict 8;154,0733237;68,86740135;300,1821531;76,12320483;219,7232453;103,7356588;0,320088314;0,307595134;0,205682238;0,211556576;0,179690579;0,17962503;0,136316173;0,124252011;0,074931237;0,05831097;0,005036372;0,002066125
Ori 3D Skel Non Strict 9;72,7449288;47,88499649;438,2891988;133,799053;244,7059302;109,6132585;0,30906974;0,299165019;0,193417721;0,202684388;0,160050303;0,162058576;0,115245203;0,108563914;0,060865337;0,047793364;0,004305274;0,00167259
Ori 3D Skel Non Strict 10;60,26738224;39,99414929;536,4478883;145,6180398;285,125254;105,5944843;0,306070528;0,291149207;0,189594703;0,196270741;0,160388181;0,163801116;0,118987396;0,117322164;0,063819807;0,055827859;0,00408911;0,002099377
Ori 3D Skel Non Strict 11;158,2415755;79,56631921;306,5238159;104,3339145;224,8217749;118,3009834;0,270850519;0,230603368;0,182513902;0,181166755;0,153638482;0,148229436;0,114218818;0,099902001;0,06281146;0,042340347;0,004345959;0,001555843
Ori 3D Skel Non Strict 12;91,86642635;52,78336922;368,6588347;112,8402617;221,1690459;103,535846;0,309978434;0,303191332;0,201359804;0,214477074;0,168258689;0,175360434;0,123174377;0,119797425;0,066397441;0,050752742;0,004594893;0,002359883
Ori 3D Skel Non Strict 13;114,6301311;63,60121896;280,2016818;80,43890961;190,5042649;97,61217542;0,321673672;0,311155897;0,216410489;0,230477526;0,18418547;0,190361736;0,134902668;0,128285741;0,072330975;0,06016256;0,005166612;0,002336987
Ori 3D Skel Non Strict 14;64,02234926;41,17584378;481,9640916;164,2396081;261,1047728;113,1947595;0,291306936;0,284295533;0,178451006;0,177714847;0,142501593;0,134426168;0,097829785;0,084281646;0,05050815;0,035802617;0,00341034;0,001481153
Ori 3D Skel Non Strict 15;312,1528352;71,91623204;318,6785968;96,34706295;307,5549773;118,9385062;0,26013508;0,226697284;0,169591803;0,176374669;0,14056802;0,143061031;0,103000694;0,090742134;0,055405537;0,03785604;0,003451584;0,001229398
avg;139,9829457;59,21844923;369,9755836;110,3299923;245,8532003;107,1883491;0,303034798;0,289457328;0,195989687;0,203470064;0,164617474;0,166024673;0,119594626;0,1115129;0,063613966;0,049209767;0,004260893;0,001836125
Ori 3D Skel Spur Removal Non Strict 1;2438,640935;277,9029717;61,09993463;6,965967137;1038,640183;118,4746526;0,211534808;0,119458451;0,183521009;0,168501786;0,16381067;0,135801959;0,129640516;0,094868038;0,079222501;0,036740716;0,024946414;0,000852341
Ori 3D Skel Spur Removal Non Strict 2;1137,80032;191,2844442;109,4223826;20,50454707;582,2270548;132,182981;0,221266139;0,174405264;0,182403801;0,170308514;0,154760879;0,135292437;0,116169987;0,093136827;0,070607417;0,041651765;0,019532749;0,001027749
Ori 3D Skel Spur Removal Non Strict 3;1738,92232;305,0420186;81,72334391;8,459407813;776,1488933;143,5367133;0,189186099;0,107766408;0,168259025;0,144774628;0,145497117;0,116667181;0,112409977;0,07301488;0,069303216;0,026569256;0,025787493;0,000695411
Ori 3D Skel Spur Removal Non Strict 4;311,0115502;126,8399734;190,8605525;29,60473907;237,9345163;118,3519345;0,246493143;0,205939223;0,191931607;0,190255953;0,162951779;0,15083869;0,119103046;0,102512778;0,066273576;0,038210492;0,014667384;0,001031994
Ori 3D Skel Spur Removal Non Strict 5;1535,590151;223,3656411;91,73542027;12,74433109;720,2882963;129,9574517;0,209302316;0,143492767;0,178632365;0,167244898;0,150750279;0,128779817;0,109575859;0,078701519;0,06443179;0,021052057;0,0227024;0
Ori 3D Skel Spur Removal Non Strict 6;610,5904153;224,442767;82,52244362;11,47055794;316,4337168;144,7391229;0,213678107;0,15286386;0,17413075;0,159971182;0,146263588;0,125036624;0,106465321;0,076427932;0,060966718;0,026244624;0,015251363;0,000610876
